物件の管理番号,備考欄（技術）,積載量/kg,点検月
"HK1-737","<div>2015HIM-C(のり愛号)　</div><div>
駐車場：適当に </div><div> 
警備：なし</div><div>  
蛍光灯：LED
</div><div>点検通知：現地TEL　011-872-1800　AM指定
</div><div>使用頻度：1日10回動くか、使わない日もあり
平成24年度のみ4月、1月  定期検査7～8月  25年度以降は定期点検は1月  定期検査は7～8月 
UCMP付き  ENNNUN-0147  マシン型式HDHC-C  報告書：1階受付</div><!-- RICH TEXT -->","200","1"
"HK3-053","３F～４FUP　　ステップ59段

①駐車場　　　　　有　ホテルと有料駐車場間の道路は私道の為駐禁ではない
②入館　　　　　　正面以外ならOK　挨拶は立駐側１F防災センターへ
③キーBOX　　　　無
④遠隔　　　　　　無
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　スリムライン有
⑩点検連絡　　　　事前にメール（時間かかる）","0","1.4.7.10"
"HK3-054","４F～３FDN　ステップ59段

①駐車場　　　　　有　ホテルと有料駐車場間の道路は私道の為駐禁ではない
②入館　　　　　　正面以外ならOK　挨拶は立駐側１F防災センターへ
③キーBOX　　　　無
④遠隔　　　　　　無
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　スリムライン有
⑩点検連絡　　　　事前にメール（時間かかる）","0","1.4.7.10"
"HK3-236","<div><font size=""4"">駐車場：現地入り口前</font></div><div><font size=""4"">
階段開放：無
</font></div><div><font size=""4"">通知：現地TEL（011-722-5021）
</font></div><div><font size=""4"">警備：無
</font></div><div><font size=""4"">監視：無
</font></div><div><font size=""4"">蛍光灯：無</font></div><div>?</div><div><font size=""4"">


1</font><span style=""font-size: large;"">階入室時、事務所にてヘッドキャップ、白衣を着用

INV:FR-A024-0.75K  0.75kW</span></div><!-- RICH TEXT -->","100","1.4.7.10"
"HK8-832","<div><font size=""4"">UA-07G
</font></div><div>?</div><div><font size=""4"">
・点検連絡：法人本部事務所　千葉課長
</font></div><div><font size=""4"">・鍵借用：病院受付（7番:エレベーター点検用）又は法人本部事務所にて</font></div><div><font size=""4"">外部インターホン：本館１階受付内
</font></div><div>?</div><div><font size=""4"">・内階段だが、精神科病院の為、各フロアにドア有（開放厳禁）</font></div><!-- RICH TEXT -->","1000","1.4.7.10"
"HK7-429","<div><font size=""4"">UA04Gi　駐車場：敷地内 、警備：なし 、外部開放：不要

2020/4/10～　エレベーター異常(D100)は診断不要です!!　その他の発報・別コードに関しては通常フローでお願いします。


①駐車場　　　　　現地建物前　
②入館　　　　　　フリー　入館後右手旧館への渡り廊下を進み途中左手に扉あるので入室
　　　　　　　　　管理課庶務係　近江様へ挨拶。点検時監視盤に点検札張り付ける。
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　FCL30×4
⑩点検連絡　　　　メール　近江 祐喜 </font></div><div><font size=""4"">??※　故障発生時は数日以内に現地担当近江様あてメールにて故障報告書をPDF添付にて送付すること。?oumi@city.iwamizawa.lg.jp</font></div><div>?<font size=""4"">※ ?年1回　9月に電気点検立会い作業あり(無償)。電気点検作業前にエレベーターを監視盤にてパーキングで停止。電気復旧後に試運転実施する。</font>?</div><div><br /></div><div><font size=""4"">?</font></div><!-- RICH TEXT -->","1000","1.4.7.10"
"HK7-428","<div><font size=""4"">UA04Gi　駐車場：敷地内 、警備：なし 、外部開放：不要

2020/4/10～　エレベーター異常(D100)は診断不要です!!　その他の発報・別コードに関しては通常フローでお願いします。


①駐車場　　　　　現地建物前　
②入館　　　　　　フリー　建物左側の新棟入館後右手旧館への渡り廊下を進み途中左手に扉あるので入室(エネルギー棟ボイラー室)
　　　　　　　　　管理課庶務係　近江様へ挨拶。点検時監視盤に点検札張り付ける。
③キーBOX　　　　無
④遠隔　　　　　　キズナ
⑤警備　　　　　　無
⑥階段開放　　　　無　
⑦防犯カメラ　　　無
⑧リフトスポット　無
⑨蛍光灯　　　　　FCL30×4
⑩点検連絡　　　　メール　近江 祐喜 </font></div><div>?<font size=""4"">※　故障発生時は数日以内に現地担当近江様あてメールにて故障報告書をPDF添付にて送付すること。?oumi@city.iwamizawa.lg.jp</font></div><div><font size=""4"">※ ?年1回　9月に電気点検立会い作業あり(無償)。電気点検作業前にエレベーターを監視盤にてパーキングで停止。電気復旧後に試運転実施する。</font>?</div><div>?</div><!-- RICH TEXT -->","1000","1.4.7.10"
"HK9-410","<div>UA-11G

*訪問時に必ず　うがい手洗いを実施してから(受付前に手洗い場あり)受付に声掛け(インターホン)をしてください。マスク必須。</div><div>

駐車場：敷地内</div><div>警備：無</div><div>
内階段↓
※階段の出入りはテンキー入力が必要だが、外部に暗証番号は教えられないとのことで
都度職員に開錠をお願いする。
外部インターホン：1階事務所（6v単）
乗場ボタン特殊呼び：白ボタン同時押し(COP内スイッチ有り)

ブレーキ開放リモコン:ピット内</div><div>
照明:LED
</div><div>点検連絡：電話にて　東梅（トウバイ）支配人

！故障完了報告書を必ず契約先㈱アクシスジャパンにFAX　FAX番号：03-5961-6057(2024.4.12～)
！【緊急出動時はメールで報告のこと。(2024/06/20　株式会社アクシスジャパン　浦川様より)　fc@ax-japan.co.jp　(株式会社アクシスジャパン　ご担当者様宛)】

報告書送付方法：①先方指定のドロップボックスへ格納(*リンク参照)②各施設へ郵送orFAX　いずれも翌月10日までに実施してください</div><!-- RICH TEXT -->","1000","1.4.7.10"
"HK8-949","@1階から見て　1号機は右側　2号機は左側
@敷地内複合施設　訪問時注意　敷地内見取図　添付してあります。
※報告書電子サイン必要！！！

警備無し
内部階段
インターホンで入館
事務所挨拶
上靴必要","1000","1.4.7.10"
"HK456","SICON2001(B85)　※駐車場はあいているところ  
※MR鍵は受付で借りる。                                                                        
※4F呼びテンキー番号1703E 
※4階停止時扉開放状態にしない。                                          
※警備なし
※点検時間14：00～15：00迄(要確認)                                                
制御方式  VF-K(B85)  製造番号  T07159-1                                                             
【契約内容変更】FM1/2→POG1/3(H28.4～)                                                        
入館時、1階受付にて来訪者記録記載し入館証携行の事。

【請求書送付先変更】(旧)現地→(新)明日佳グループ事務センター経理担当(H28.8.1～)
【救出訓練実施物件】
担当：先崎様　TEL:0126-25-5670","1000","1.4.7.10"
